1	43
2	46
3	39
4	39
5	4
6	44
7	8
8	24
9	46
10	13
11	40
12	47
13	7
14	5
15	34
16	50
17	39
18	33
19	36
20	45
21	6
22	6
23	47
24	37
25	46
26	33
27	34
28	33
29	32
30	29
31	24
32	28
33	45
34	21
35	21
36	21
37	34
38	25
39	34
40	32
41	32
42	31
43	29
44	29
45	22
46	25
47	33
48	29
49	23
50	33
51	27
52	31
53	23
54	27
55	28
56	3
57	21
58	22
59	31
60	24
61	28
62	23
63	22
64	31
65	23
66	31
67	28
68	32
69	23
70	35
71	3
72	42
73	50
74	41
75	39
76	48
77	38
78	41
79	45
80	36
81	36
82	37
83	49
84	39
85	40
86	47
87	36
88	49
89	5
90	41
91	41
92	9
93	50
94	45
95	3
96	50
97	19
98	6
99	40
100	3
